月份,全社会用电量_亿千瓦时,yoy_percent,第一产业_亿千瓦时,第二产业_亿千瓦时,第三产业_亿千瓦时,城乡居民生活_亿千瓦时,fetched_at
2026年03月份,8595.0,3.5,113.0,5708.0,1601.0,1172.0,2026-04-21T12:00:29+00:00
2026年01-02月份,16546.0,6.1,223.0,10279.0,3231.0,2813.0,2026-04-21T11:50:15+00:00
