月份,货运发送量_亿吨,freight_send_yoy_percent,货运周转量_亿吨公里,freight_turnover_yoy_percent,fetched_at
2026年03月份,4.6,3.4,3342.67,6.9,2026-04-21T11:49:04+00:00
2026年02月份,3.82,-0.6,2656.63,1.3,2026-04-21T11:50:53+00:00
